classname,comment
apapan,
asctap1,
barpet,
blbwre1,
blcjay1,
blcjay2,
blcwar2,
blgdov1,
bobfly1,
bubwre1,
bucmot4,
bugtan,
canwar,
ccbfin,
chwcha1,
cinbec1,
cocwoo1,
compau,
crbtan1,
ducfly,
ercfra,
fepowl,
forela1,
gbwwre1,
gofred1,
gohman1,
grbhaw1,
grekis,
grepot1,
hawama,
jabwar,
latman1,
laufal1,
linwoo1,
mattap1,
nobwoo1,
olipic1,
peptyr1,
rawwre1,
recwoo1,
rubher,
rufant1,
rufnig1,
rufwre1,
rumfly1,
rutjac1,
scrgre1,
skylar,
slbfin2,
sltred,
sobtyr1,
stbwre2,
sthbrf8,
sthwoo1,
trieup1,
tropar,
trsowl,
warwhe1,
whbant1,
whbman1,
whbspi2,
whbtyr1,
whcsap1,
whtdov,
whwbec1,
yebfly1,
yefcan,
yeofly1,
yercac1,
ywcpar,
